Id2,Neighborhood
21111000200,Portland
21111000300,Portland
21111000400,Chickasaw-Shawnee
21111000600,Russell
21111000700,Chickasaw-Shawnee
21111000800,Chickasaw-Shawnee
21111000900,Chickasaw-Shawnee
21111001000,California-Parkland
21111001100,Chickasaw-Shawnee
21111001200,Chickasaw-Shawnee
21111001400,Algonquin-Park Hill-Park Duvalle
21111001500,Algonquin-Park Hill-Park Duvalle
21111001600,Algonquin-Park Hill-Park Duvalle
21111001700,California-Parkland
21111001800,California-Parkland
21111002100,Portland
21111002300,Portland
21111002400,Russell
21111002700,California-Parkland
21111002800,Algonquin-Park Hill-Park Duvalle
21111003000,Russell
21111003500,Algonquin-Park Hill-Park Duvalle
21111003600,South Central Louisville
21111003700,South Central Louisville
21111003800,South Central Louisville
21111003900,South Central Louisville
21111004000,South Central Louisville
21111004100,South Central Louisville
21111004301,South Central Louisville
21111004302,South Louisville
21111004400,South Louisville
21111004500,South Louisville
21111004600,South Louisville
21111004900,Downtown-Old Louisville-University
21111005000,Downtown-Old Louisville-University
21111005100,Downtown-Old Louisville-University
21111005200,Downtown-Old Louisville-University
21111005300,Downtown-Old Louisville-University
21111005600,South Louisville
21111005900,Phoenix Hill-Smoketown-Shelby Park
21111006200,Phoenix Hill-Smoketown-Shelby Park
21111006300,Germantown
21111006400,Highlands
21111006500,Phoenix Hill-Smoketown-Shelby Park
21111006600,Downtown-Old Louisville-University
21111006800,Germantown
21111006900,Germantown
21111007000,Germantown
21111007100,Germantown
21111007400,Butchertown-Clifton-Crescent Hill
21111007501,Northeast Jefferson
21111007502,Northeast Jefferson
21111007601,Butchertown-Clifton-Crescent Hill
21111007602,Butchertown-Clifton-Crescent Hill
21111007603,Butchertown-Clifton-Crescent Hill
21111007700,Butchertown-Clifton-Crescent Hill
21111007800,Butchertown-Clifton-Crescent Hill
21111007900,Butchertown-Clifton-Crescent Hill
21111008100,Butchertown-Clifton-Crescent Hill
21111008200,Highlands
21111008300,Highlands
21111008400,Highlands
21111008500,Highlands
21111008700,Highlands
21111008800,Highlands
21111008900,Southeast Louisville
21111009000,South Louisville
21111009103,South Louisville
21111009105,South Louisville
21111009106,South Louisville
21111009300,Southeast Louisville
21111009400,Southeast Louisville
21111009600,Southeast Louisville
21111009700,Southeast Louisville
21111009800,St. Matthews
21111009900,St. Matthews
21111010001,St. Matthews
21111010004,Northeast Jefferson
21111010005,Northeast Jefferson
21111010006,Northeast Jefferson
21111010007,Northeast Jefferson
21111010008,Northeast Jefferson
21111010102,Northeast Jefferson
21111010103,Northeast Jefferson
21111010104,Northeast Jefferson
21111010307,Northeast Jefferson
21111010309,Northeast Jefferson
21111010311,Northeast Jefferson
21111010312,Northeast Jefferson
21111010313,Northeast Jefferson
21111010314,Northeast Jefferson
21111010315,Northeast Jefferson
21111010316,Northeast Jefferson
21111010317,Northeast Jefferson
21111010318,Northeast Jefferson
21111010319,Northeast Jefferson
21111010320,Northeast Jefferson
21111010402,Floyd's Fork
21111010403,Northeast Jefferson
21111010405,Northeast Jefferson
21111010406,Northeast Jefferson
21111010500,St. Matthews
21111010601,St. Matthews
21111010602,St. Matthews
21111010701,J-Town
21111010702,J-Town
21111010705,J-Town
21111010706,J-Town
21111010800,Southeast Louisville
21111010901,Southeast Louisville
21111010902,Southeast Louisville
21111011002,Buechel-Newburg-Indian Trail
21111011003,Southeast Louisville
21111011004,Southeast Louisville
21111011005,J-Town
21111011102,J-Town
21111011106,J-Town
21111011109,Fern Creek
21111011110,Fern Creek
21111011111,J-Town
21111011112,J-Town
21111011113,J-Town
21111011114,J-Town
21111011200,Southeast Louisville
21111011301,Buechel-Newburg-Indian Trail
21111011302,Buechel-Newburg-Indian Trail
21111011403,Buechel-Newburg-Indian Trail
21111011404,Buechel-Newburg-Indian Trail
21111011405,Buechel-Newburg-Indian Trail
21111011406,Buechel-Newburg-Indian Trail
21111011505,Highview-Okolona
21111011506,Fern Creek
21111011508,Highview-Okolona
21111011509,Fern Creek
21111011513,Highview-Okolona
21111011514,Highview-Okolona
21111011515,Fern Creek
21111011516,Fern Creek
21111011517,Floyd's Fork
21111011518,Floyd's Fork
21111011519,Floyd's Fork
21111011520,Floyd's Fork
21111011601,Floyd's Fork
21111011603,Floyd's Fork
21111011604,Floyd's Fork
21111011706,Highview-Okolona
21111011707,Highview-Okolona
21111011708,Floyd's Fork
21111011709,Floyd's Fork
21111011710,Highview-Okolona
21111011711,Highview-Okolona
21111011712,Highview-Okolona
21111011713,Highview-Okolona
21111011800,Buechel-Newburg-Indian Trail
21111011901,Fairdale
21111011904,Highview-Okolona
21111011905,Highview-Okolona
21111011906,Highview-Okolona
21111011907,Highview-Okolona
21111012001,Fairdale
21111012002,Fairdale
21111012003,Fairdale
21111012103,Valley Station
21111012104,Valley Station
21111012105,Valley Station
21111012106,Valley Station
21111012107,Valley Station
21111012202,South Louisville
21111012203,Pleasure Ridge Park
21111012204,South Louisville
21111012301,South Louisville
21111012302,South Louisville
21111012406,Pleasure Ridge Park
21111012407,Pleasure Ridge Park
21111012408,Pleasure Ridge Park
21111012409,Valley Station
21111012410,Pleasure Ridge Park
21111012411,Pleasure Ridge Park
21111012501,Shively
21111012502,Pleasure Ridge Park
21111012503,Shively
21111012601,Shively
21111012603,Shively
21111012604,Shively
21111012701,Shively
21111012702,Shively
21111012703,Pleasure Ridge Park
21111012801,Shively
21111012802,South Central Louisville
21111013100,Southeast Louisville
21111980100,Airport
